mp_num,init_age,initial_pols_if,sum_assured
0,24,1.0,201276.0
1,28,1.0,126921.0
2,65,1.0,111858.0
3,71,1.0,241229.0
4,31,1.0,142451.0
5,50,1.0,148097.0
6,52,1.0,38126.0
7,63,1.0,133564.0
8,63,1.0,100891.0
9,23,1.0,77042.0
10,37,1.0,241580.0
11,71,1.0,233040.0
12,39,1.0,244636.0
13,33,1.0,93971.0
14,54,1.0,166049.0
15,30,1.0,83914.0
16,28,1.0,116694.0
17,63,1.0,73929.0
18,26,1.0,150265.0
19,69,1.0,79301.0
20,33,1.0,80359.0
21,25,1.0,111108.0
22,60,1.0,15493.0
23,29,1.0,225603.0
24,40,1.0,63304.0
25,39,1.0,161395.0
26,47,1.0,26362.0
27,46,1.0,101600.0
28,30,1.0,20552.0
29,32,1.0,249474.0
30,30,1.0,218539.0
31,23,1.0,214489.0
32,55,1.0,59505.0
33,45,1.0,146496.0
34,25,1.0,218310.0
35,38,1.0,100934.0
36,56,1.0,18402.0
37,35,1.0,110868.0
38,42,1.0,224081.0
39,60,1.0,36669.0
40,56,1.0,30989.0
41,58,1.0,153598.0
42,40,1.0,64436.0
43,46,1.0,103305.0
44,66,1.0,105838.0
45,67,1.0,177997.0
46,23,1.0,16764.0
47,66,1.0,168186.0
48,69,1.0,127730.0
49,71,1.0,133070.0
50,34,1.0,179707.0
51,47,1.0,163913.0
52,22,1.0,172400.0
53,26,1.0,81769.0
54,50,1.0,214622.0
55,31,1.0,157752.0
56,32,1.0,120474.0
57,36,1.0,130416.0
58,45,1.0,68824.0
59,28,1.0,199240.0
60,64,1.0,76753.0
61,56,1.0,149066.0
62,63,1.0,234106.0
63,70,1.0,142381.0
64,53,1.0,19160.0
65,39,1.0,242360.0
66,73,1.0,145462.0
67,51,1.0,53731.0
68,45,1.0,129267.0
69,42,1.0,98569.0
70,22,1.0,110679.0
71,72,1.0,126157.0
72,65,1.0,208583.0
73,58,1.0,67773.0
74,32,1.0,168523.0
75,71,1.0,182580.0
76,29,1.0,245246.0
77,33,1.0,85361.0
78,23,1.0,58104.0
79,35,1.0,234372.0
80,38,1.0,238257.0
81,63,1.0,196753.0
82,37,1.0,102924.0
83,72,1.0,243188.0
84,36,1.0,150035.0
85,48,1.0,62429.0
86,52,1.0,208142.0
87,65,1.0,125612.0
88,61,1.0,23834.0
89,67,1.0,196742.0
90,71,1.0,205969.0
91,26,1.0,215380.0
92,25,1.0,49030.0
93,44,1.0,90713.0
94,28,1.0,199983.0
95,47,1.0,192790.0
96,52,1.0,222600.0
97,35,1.0,141463.0
98,25,1.0,84571.0
99,73,1.0,108533.0
100,40,1.0,80544.0
101,66,1.0,164171.0
102,54,1.0,128741.0
